"State","Factory Type","Factory Name","City","Factory ID"
"Uttar Pradesh","Dairy Plant","Meerut Dairy Foods","Meerut","UP0074"
"Rajasthan","Oil Mill","Udaipur Oil Agro Works","Udaipur","RJ0075"
"Madhya Pradesh","Cold Storage","Gwalior Cold Agencies","Gwalior","MP0076"
"Bihar","Agro Processing","Muzaffarpur Agro Mills","Muzaffarpur","BR0077"
"West Bengal","Flour Mill","Durgapur Flour Products","Durgapur","WB0078"
"Odisha","Spice Processing","Rourkela Spice FarmTech","Rourkela","OD0079"
"Chhattisgarh","Fruit Processing","Rajnandgaon Fruit Agri Unit","Rajnandgaon","CG0080"
"Tamil Nadu","Rice Mill","Chennai Rice Industries","Chennai","TN0081"
"Karnataka","Sugar Mill","Mysore Sugar Processors","Mysore","KA0082"
"Kerala","Food Processing","Kannur Food Enterprises","Kannur","KL0083"
"Andhra Pradesh","Dairy Plant","Tirupati Dairy Foods","Tirupati","AP0084"
"Telangana","Oil Mill","Khammam Oil Agro Works","Khammam","TS0085"
"Maharashtra","Cold Storage","Nagpur Cold Agencies","Nagpur","MH0086"
"Gujarat","Agro Processing","Rajkot Agro Mills","Rajkot","GJ0087"
"Punjab","Flour Mill","Jalandhar Flour Products","Jalandhar","PB0088"
"Haryana","Spice Processing","Rohtak Spice FarmTech","Rohtak","HR0089"
"Uttar Pradesh","Fruit Processing","Bareilly Fruit Agri Unit","Bareilly","UP0090"
"Rajasthan","Rice Mill","Jaipur Rice Industries","Jaipur","RJ0091"
"Madhya Pradesh","Sugar Mill","Bhopal Sugar Processors","Bhopal","MP0092"
"Bihar","Food Processing","Bhagalpur Food Enterprises","Bhagalpur","BR0093"
"West Bengal","Dairy Plant","Malda Dairy Foods","Malda","WB0094"
"Odisha","Oil Mill","Balasore Oil Agro Works","Balasore","OD0095"
"Chhattisgarh","Cold Storage","Raipur Cold Agencies","Raipur","CG0096"
"Tamil Nadu","Agro Processing","Tiruppur Agro Mills","Tiruppur","TN0097"
"Karnataka","Flour Mill","Mysore Flour Products","Mysore","KA0098"
"Kerala","Spice Processing","Kozhikode Spice FarmTech","Kozhikode","KL0099"
"Andhra Pradesh","Fruit Processing","Nellore Fruit Agri Unit","Nellore","AP0100"
"Telangana","Rice Mill","Hyderabad Rice Industries","Hyderabad","TS0101"
"Maharashtra","Sugar Mill","Kolhapur Sugar Processors","Kolhapur","MH0102"
"Gujarat","Food Processing","Ahmedabad Food Enterprises","Ahmedabad","GJ0103"
"Punjab","Dairy Plant","Patiala Dairy Foods","Patiala","PB0104"
"Haryana","Oil Mill","Ambala Oil Agro Works","Ambala","HR0105"
"Uttar Pradesh","Cold Storage","Kanpur Cold Agencies","Kanpur","UP0106"
"Rajasthan","Agro Processing","Bikaner Agro Mills","Bikaner","RJ0107"
"Madhya Pradesh","Flour Mill","Sagar Flour Products","Sagar","MP0108"
"Bihar","Spice Processing","Gaya Spice FarmTech","Gaya","BR0109"
"West Bengal","Fruit Processing","Howrah Fruit Agri Unit","Howrah","WB0110"
"Odisha","Rice Mill","Bhubaneswar Rice Industries","Bhubaneswar","OD0111"
"Chhattisgarh","Sugar Mill","Bilaspur Sugar Processors","Bilaspur","CG0112"
"Tamil Nadu","Food Processing","Madurai Food Enterprises","Madurai","TN0113"
"Karnataka","Dairy Plant","Mysore Dairy Foods","Mysore","KA0114"
"Kerala","Oil Mill","Kochi Oil Agro Works","Kochi","KL0115"
"Andhra Pradesh","Cold Storage","Guntur Cold Agencies","Guntur","AP0116"
"Telangana","Agro Processing","Warangal Agro Mills","Warangal","TS0117"
"Maharashtra","Flour Mill","Solapur Flour Products","Solapur","MH0118"
"Gujarat","Spice Processing","Bhavnagar Spice FarmTech","Bhavnagar","GJ0119"
"Punjab","Fruit Processing","Bathinda Fruit Agri Unit","Bathinda","PB0120"
"Haryana","Rice Mill","Karnal Rice Industries","Karnal","HR0121"
"Uttar Pradesh","Sugar Mill","Agra Sugar Processors","Agra","UP0122"
"Rajasthan","Food Processing","Udaipur Food Enterprises","Udaipur","RJ0123"
"Madhya Pradesh","Dairy Plant","Gwalior Dairy Foods","Gwalior","MP0124"
"Bihar","Oil Mill","Purnia Oil Agro Works","Purnia","BR0125"
"West Bengal","Cold Storage","Kolkata Cold Agencies","Kolkata","WB0126"
"Odisha","Agro Processing","Cuttack Agro Mills","Cuttack","OD0127"
"Chhattisgarh","Flour Mill","Durg Flour Products","Durg","CG0128"
"Tamil Nadu","Spice Processing","Vellore Spice FarmTech","Vellore","TN0129"
"Karnataka","Fruit Processing","Mysore Fruit Agri Unit","Mysore","KA0130"
"Kerala","Rice Mill","Kannur Rice Industries","Kannur","KL0131"
"Andhra Pradesh","Sugar Mill","Tirupati Sugar Processors","Tirupati","AP0132"
"Telangana","Food Processing","Karimnagar Food Enterprises","Karimnagar","TS0133"
"Maharashtra","Dairy Plant","Pune Dairy Foods","Pune","MH0134"
"Gujarat","Oil Mill","Rajkot Oil Agro Works","Rajkot","GJ0135"
"Punjab","Cold Storage","Ludhiana Cold Agencies","Ludhiana","PB0136"
"Haryana","Agro Processing","Hisar Agro Mills","Hisar","HR0137"
"Uttar Pradesh","Flour Mill","Varanasi Flour Products","Varanasi","UP0138"
"Rajasthan","Spice Processing","Jaipur Spice FarmTech","Jaipur","RJ0139"
"Madhya Pradesh","Fruit Processing","Bhopal Fruit Agri Unit","Bhopal","MP0140"
"Bihar","Rice Mill","Patna Rice Industries","Patna","BR0141"
"West Bengal","Sugar Mill","Siliguri Sugar Processors","Siliguri","WB0142"
"Odisha","Food Processing","Sambalpur Food Enterprises","Sambalpur","OD0143"
"Chhattisgarh","Dairy Plant","Korba Dairy Foods","Korba","CG0144"
"Tamil Nadu","Oil Mill","Erode Oil Agro Works","Erode","TN0145"
"Karnataka","Cold Storage","Mysore Cold Agencies","Mysore","KA0146"
"Kerala","Agro Processing","Kozhikode Agro Mills","Kozhikode","KL0147"
"Andhra Pradesh","Flour Mill","Nellore Flour Products","Nellore","AP0148"
"Telangana","Spice Processing","Nizamabad Spice FarmTech","Nizamabad","TS0149"
"Maharashtra","Fruit Processing","Nashik Fruit Agri Unit","Nashik","MH0150"
"Gujarat","Rice Mill","Ahmedabad Rice Industries","Ahmedabad","GJ0151"
"Punjab","Sugar Mill","Amritsar Sugar Processors","Amritsar","PB0152"
"Haryana","Food Processing","Panipat Food Enterprises","Panipat","HR0153"
"Uttar Pradesh","Dairy Plant","Gorakhpur Dairy Foods","Gorakhpur","UP0154"
"Rajasthan","Oil Mill","Bikaner Oil Agro Works","Bikaner","RJ0155"
"Madhya Pradesh","Cold Storage","Sagar Cold Agencies","Sagar","MP0156"
"Bihar","Agro Processing","Muzaffarpur Agro Mills","Muzaffarpur","BR0157"
"West Bengal","Flour Mill","Durgapur Flour Products","Durgapur","WB0158"
"Odisha","Spice Processing","Rourkela Spice FarmTech","Rourkela","OD0159"
"Chhattisgarh","Fruit Processing","Rajnandgaon Fruit Agri Unit","Rajnandgaon","CG0160"
"Tamil Nadu","Rice Mill","Chennai Rice Industries","Chennai","TN0161"
"Karnataka","Sugar Mill","Mysore Sugar Processors","Mysore","KA0162"
"Kerala","Food Processing","Kochi Food Enterprises","Kochi","KL0163"
"Andhra Pradesh","Dairy Plant","Guntur Dairy Foods","Guntur","AP0164"
"Telangana","Oil Mill","Khammam Oil Agro Works","Khammam","TS0165"
"Maharashtra","Cold Storage","Aurangabad Cold Agencies","Aurangabad","MH0166"
"Gujarat","Agro Processing","Bhavnagar Agro Mills","Bhavnagar","GJ0167"
"Punjab","Flour Mill","Jalandhar Flour Products","Jalandhar","PB0168"
"Haryana","Spice Processing","Rohtak Spice FarmTech","Rohtak","HR0169"
"Uttar Pradesh","Fruit Processing","Lucknow Fruit Agri Unit","Lucknow","UP0170"
"Rajasthan","Rice Mill","Udaipur Rice Industries","Udaipur","RJ0171"
"Madhya Pradesh","Sugar Mill","Gwalior Sugar Processors","Gwalior","MP0172"
"Bihar","Food Processing","Bhagalpur Food Enterprises","Bhagalpur","BR0173"
"West Bengal","Dairy Plant","Malda Dairy Foods","Malda","WB0174"
"Odisha","Oil Mill","Balasore Oil Agro Works","Balasore","OD0175"
"Chhattisgarh","Cold Storage","Raipur Cold Agencies","Raipur","CG0176"
"Tamil Nadu","Agro Processing","Tiruppur Agro Mills","Tiruppur","TN0177"
"Karnataka","Flour Mill","Mysore Flour Products","Mysore","KA0178"
"Kerala","Spice Processing","Kannur Spice FarmTech","Kannur","KL0179"
"Andhra Pradesh","Fruit Processing","Tirupati Fruit Agri Unit","Tirupati","AP0180"
"Telangana","Rice Mill","Hyderabad Rice Industries","Hyderabad","TS0181"
"Maharashtra","Sugar Mill","Amravati Sugar Processors","Amravati","MH0182"
"Gujarat","Food Processing","Rajkot Food Enterprises","Rajkot","GJ0183"
"Punjab","Dairy Plant","Patiala Dairy Foods","Patiala","PB0184"
"Haryana","Oil Mill","Ambala Oil Agro Works","Ambala","HR0185"
"Uttar Pradesh","Cold Storage","Meerut Cold Agencies","Meerut","UP0186"
"Rajasthan","Agro Processing","Jaipur Agro Mills","Jaipur","RJ0187"
"Madhya Pradesh","Flour Mill","Bhopal Flour Products","Bhopal","MP0188"
"Bihar","Spice Processing","Gaya Spice FarmTech","Gaya","BR0189"
"West Bengal","Fruit Processing","Howrah Fruit Agri Unit","Howrah","WB0190"
"Odisha","Rice Mill","Bhubaneswar Rice Industries","Bhubaneswar","OD0191"
"Chhattisgarh","Sugar Mill","Bilaspur Sugar Processors","Bilaspur","CG0192"
"Tamil Nadu","Food Processing","Madurai Food Enterprises","Madurai","TN0193"
"Karnataka","Dairy Plant","Mysore Dairy Foods","Mysore","KA0194"
"Kerala","Oil Mill","Kozhikode Oil Agro Works","Kozhikode","KL0195"
"Andhra Pradesh","Cold Storage","Nellore Cold Agencies","Nellore","AP0196"
"Telangana","Agro Processing","Warangal Agro Mills","Warangal","TS0197"
"Maharashtra","Flour Mill","Nagpur Flour Products","Nagpur","MH0198"
"Gujarat","Spice Processing","Ahmedabad Spice FarmTech","Ahmedabad","GJ0199"
"Punjab","Fruit Processing","Bathinda Fruit Agri Unit","Bathinda","PB0200"
"Haryana","Rice Mill","Karnal Rice Industries","Karnal","HR0201"
"Uttar Pradesh","Sugar Mill","Bareilly Sugar Processors","Bareilly","UP0202"
"Rajasthan","Food Processing","Bikaner Food Enterprises","Bikaner","RJ0203"
"Madhya Pradesh","Dairy Plant","Sagar Dairy Foods","Sagar","MP0204"
"Bihar","Oil Mill","Purnia Oil Agro Works","Purnia","BR0205"
"West Bengal","Cold Storage","Kolkata Cold Agencies","Kolkata","WB0206"
"Odisha","Agro Processing","Cuttack Agro Mills","Cuttack","OD0207"
"Chhattisgarh","Flour Mill","Durg Flour Products","Durg","CG0208"
"Tamil Nadu","Spice Processing","Vellore Spice FarmTech","Vellore","TN0209"
"Karnataka","Fruit Processing","Mysore Fruit Agri Unit","Mysore","KA0210"
"Kerala","Rice Mill","Kochi Rice Industries","Kochi","KL0211"
"Andhra Pradesh","Sugar Mill","Guntur Sugar Processors","Guntur","AP0212"
"Telangana","Food Processing","Karimnagar Food Enterprises","Karimnagar","TS0213"
"Maharashtra","Dairy Plant","Kolhapur Dairy Foods","Kolhapur","MH0214"
"Gujarat","Oil Mill","Bhavnagar Oil Agro Works","Bhavnagar","GJ0215"
"Punjab","Cold Storage","Ludhiana Cold Agencies","Ludhiana","PB0216"
"Haryana","Agro Processing","Hisar Agro Mills","Hisar","HR0217"
"Uttar Pradesh","Flour Mill","Kanpur Flour Products","Kanpur","UP0218"
"Rajasthan","Spice Processing","Udaipur Spice FarmTech","Udaipur","RJ0219"
"Madhya Pradesh","Fruit Processing","Gwalior Fruit Agri Unit","Gwalior","MP0220"
"Bihar","Rice Mill","Patna Rice Industries","Patna","BR0221"
"West Bengal","Sugar Mill","Siliguri Sugar Processors","Siliguri","WB0222"
"Odisha","Food Processing","Sambalpur Food Enterprises","Sambalpur","OD0223"
"Chhattisgarh","Dairy Plant","Korba Dairy Foods","Korba","CG0224"
"Tamil Nadu","Oil Mill","Erode Oil Agro Works","Erode","TN0225"
"Karnataka","Cold Storage","Mysore Cold Agencies","Mysore","KA0226"
"Kerala","Agro Processing","Kannur Agro Mills","Kannur","KL0227"
"Andhra Pradesh","Flour Mill","Tirupati Flour Products","Tirupati","AP0228"
"Telangana","Spice Processing","Nizamabad Spice FarmTech","Nizamabad","TS0229"
"Maharashtra","Fruit Processing","Solapur Fruit Agri Unit","Solapur","MH0230"
"Gujarat","Rice Mill","Rajkot Rice Industries","Rajkot","GJ0231"
"Punjab","Sugar Mill","Amritsar Sugar Processors","Amritsar","PB0232"
"Haryana","Food Processing","Panipat Food Enterprises","Panipat","HR0233"
"Uttar Pradesh","Dairy Plant","Agra Dairy Foods","Agra","UP0234"
"Rajasthan","Oil Mill","Jaipur Oil Agro Works","Jaipur","RJ0235"
"Madhya Pradesh","Cold Storage","Bhopal Cold Agencies","Bhopal","MP0236"
"Bihar","Agro Processing","Muzaffarpur Agro Mills","Muzaffarpur","BR0237"
"West Bengal","Flour Mill","Durgapur Flour Products","Durgapur","WB0238"
"Odisha","Spice Processing","Rourkela Spice FarmTech","Rourkela","OD0239"
"Chhattisgarh","Fruit Processing","Rajnandgaon Fruit Agri Unit","Rajnandgaon","CG0240"
"Tamil Nadu","Rice Mill","Chennai Rice Industries","Chennai","TN0241"
"Karnataka","Sugar Mill","Mysore Sugar Processors","Mysore","KA0242"
"Kerala","Food Processing","Kozhikode Food Enterprises","Kozhikode","KL0243"
"Andhra Pradesh","Dairy Plant","Nellore Dairy Foods","Nellore","AP0244"
"Telangana","Oil Mill","Khammam Oil Agro Works","Khammam","TS0245"
"Maharashtra","Cold Storage","Pune Cold Agencies","Pune","MH0246"
"Gujarat","Agro Processing","Ahmedabad Agro Mills","Ahmedabad","GJ0247"
"Punjab","Flour Mill","Jalandhar Flour Products","Jalandhar","PB0248"
"Haryana","Spice Processing","Rohtak Spice FarmTech","Rohtak","HR0249"
"Uttar Pradesh","Fruit Processing","Varanasi Fruit Agri Unit","Varanasi","UP0250"
"Rajasthan","Rice Mill","Bikaner Rice Industries","Bikaner","RJ0251"
"Madhya Pradesh","Sugar Mill","Sagar Sugar Processors","Sagar","MP0252"
"Bihar","Food Processing","Bhagalpur Food Enterprises","Bhagalpur","BR0253"
"West Bengal","Dairy Plant","Malda Dairy Foods","Malda","WB0254"
"Odisha","Oil Mill","Balasore Oil Agro Works","Balasore","OD0255"
"Chhattisgarh","Cold Storage","Raipur Cold Agencies","Raipur","CG0256"
"Tamil Nadu","Agro Processing","Tiruppur Agro Mills","Tiruppur","TN0257"
"Karnataka","Flour Mill","Mysore Flour Products","Mysore","KA0258"
"Kerala","Spice Processing","Kochi Spice FarmTech","Kochi","KL0259"
"Andhra Pradesh","Fruit Processing","Guntur Fruit Agri Unit","Guntur","AP0260"
"Telangana","Rice Mill","Hyderabad Rice Industries","Hyderabad","TS0261"
"Maharashtra","Sugar Mill","Nashik Sugar Processors","Nashik","MH0262"
"Gujarat","Food Processing","Bhavnagar Food Enterprises","Bhavnagar","GJ0263"
"Punjab","Dairy Plant","Patiala Dairy Foods","Patiala","PB0264"
"Haryana","Oil Mill","Ambala Oil Agro Works","Ambala","HR0265"
"Uttar Pradesh","Cold Storage","Gorakhpur Cold Agencies","Gorakhpur","UP0266"
"Rajasthan","Agro Processing","Udaipur Agro Mills","Udaipur","RJ0267"
"Madhya Pradesh","Flour Mill","Gwalior Flour Products","Gwalior","MP0268"
"Bihar","Spice Processing","Gaya Spice FarmTech","Gaya","BR0269"
"West Bengal","Fruit Processing","Howrah Fruit Agri Unit","Howrah","WB0270"
"Odisha","Rice Mill","Bhubaneswar Rice Industries","Bhubaneswar","OD0271"
"Chhattisgarh","Sugar Mill","Bilaspur Sugar Processors","Bilaspur","CG0272"
"Tamil Nadu","Food Processing","Madurai Food Enterprises","Madurai","TN0273"
"Karnataka","Dairy Plant","Mysore Dairy Foods","Mysore","KA0274"
"Kerala","Oil Mill","Kannur Oil Agro Works","Kannur","KL0275"
"Andhra Pradesh","Cold Storage","Tirupati Cold Agencies","Tirupati","AP0276"
"Telangana","Agro Processing","Warangal Agro Mills","Warangal","TS0277"
"Maharashtra","Flour Mill","Aurangabad Flour Products","Aurangabad","MH0278"
"Gujarat","Spice Processing","Rajkot Spice FarmTech","Rajkot","GJ0279"
"Punjab","Fruit Processing","Bathinda Fruit Agri Unit","Bathinda","PB0280"
"Haryana","Rice Mill","Karnal Rice Industries","Karnal","HR0281"
"Uttar Pradesh","Sugar Mill","Lucknow Sugar Processors","Lucknow","UP0282"
"Rajasthan","Food Processing","Jaipur Food Enterprises","Jaipur","RJ0283"
"Madhya Pradesh","Dairy Plant","Bhopal Dairy Foods","Bhopal","MP0284"
"Bihar","Oil Mill","Purnia Oil Agro Works","Purnia","BR0285"
"West Bengal","Cold Storage","Kolkata Cold Agencies","Kolkata","WB0286"
"Odisha","Agro Processing","Cuttack Agro Mills","Cuttack","OD0287"
"Chhattisgarh","Flour Mill","Durg Flour Products","Durg","CG0288"
"Tamil Nadu","Spice Processing","Vellore Spice FarmTech","Vellore","TN0289"
"Karnataka","Fruit Processing","Mysore Fruit Agri Unit","Mysore","KA0290"
"Kerala","Rice Mill","Kozhikode Rice Industries","Kozhikode","KL0291"
"Andhra Pradesh","Sugar Mill","Nellore Sugar Processors","Nellore","AP0292"
"Telangana","Food Processing","Karimnagar Food Enterprises","Karimnagar","TS0293"
"Maharashtra","Dairy Plant","Amravati Dairy Foods","Amravati","MH0294"
"Gujarat","Oil Mill","Ahmedabad Oil Agro Works","Ahmedabad","GJ0295"
"Punjab","Cold Storage","Ludhiana Cold Agencies","Ludhiana","PB0296"
"Haryana","Agro Processing","Hisar Agro Mills","Hisar","HR0297"
"Uttar Pradesh","Flour Mill","Meerut Flour Products","Meerut","UP0298"
"Rajasthan","Spice Processing","Bikaner Spice FarmTech","Bikaner","RJ0299"
"Madhya Pradesh","Fruit Processing","Sagar Fruit Agri Unit","Sagar","MP0300"
"Bihar","Rice Mill","Patna Rice Industries","Patna","BR0301"
"West Bengal","Sugar Mill","Siliguri Sugar Processors","Siliguri","WB0302"
"Odisha","Food Processing","Sambalpur Food Enterprises","Sambalpur","OD0303"
"Chhattisgarh","Dairy Plant","Korba Dairy Foods","Korba","CG0304"
"Tamil Nadu","Oil Mill","Erode Oil Agro Works","Erode","TN0305"
"Karnataka","Cold Storage","Mysore Cold Agencies","Mysore","KA0306"
"Kerala","Agro Processing","Kochi Agro Mills","Kochi","KL0307"
"Andhra Pradesh","Flour Mill","Guntur Flour Products","Guntur","AP0308"
"Telangana","Spice Processing","Nizamabad Spice FarmTech","Nizamabad","TS0309"
"Maharashtra","Fruit Processing","Nagpur Fruit Agri Unit","Nagpur","MH0310"
"Gujarat","Rice Mill","Bhavnagar Rice Industries","Bhavnagar","GJ0311"
"Punjab","Sugar Mill","Amritsar Sugar Processors","Amritsar","PB0312"
"Haryana","Food Processing","Panipat Food Enterprises","Panipat","HR0313"
"Uttar Pradesh","Dairy Plant","Bareilly Dairy Foods","Bareilly","UP0314"
"Rajasthan","Oil Mill","Udaipur Oil Agro Works","Udaipur","RJ0315"
"Madhya Pradesh","Cold Storage","Gwalior Cold Agencies","Gwalior","MP0316"
"Bihar","Agro Processing","Muzaffarpur Agro Mills","Muzaffarpur","BR0317"
"West Bengal","Flour Mill","Durgapur Flour Products","Durgapur","WB0318"
"Odisha","Spice Processing","Rourkela Spice FarmTech","Rourkela","OD0319"
"Chhattisgarh","Fruit Processing","Rajnandgaon Fruit Agri Unit","Rajnandgaon","CG0320"
"Tamil Nadu","Rice Mill","Chennai Rice Industries","Chennai","TN0321"
"Karnataka","Sugar Mill","Mysore Sugar Processors","Mysore","KA0322"
"Kerala","Food Processing","Kannur Food Enterprises","Kannur","KL0323"
"Andhra Pradesh","Dairy Plant","Tirupati Dairy Foods","Tirupati","AP0324"
"Telangana","Oil Mill","Khammam Oil Agro Works","Khammam","TS0325"
"Maharashtra","Cold Storage","Kolhapur Cold Agencies","Kolhapur","MH0326"
"Gujarat","Agro Processing","Rajkot Agro Mills","Rajkot","GJ0327"
"Punjab","Flour Mill","Jalandhar Flour Products","Jalandhar","PB0328"
"Haryana","Spice Processing","Rohtak Spice FarmTech","Rohtak","HR0329"
"Uttar Pradesh","Fruit Processing","Kanpur Fruit Agri Unit","Kanpur","UP0330"
"Rajasthan","Rice Mill","Jaipur Rice Industries","Jaipur","RJ0331"
"Madhya Pradesh","Sugar Mill","Bhopal Sugar Processors","Bhopal","MP0332"
"Bihar","Food Processing","Bhagalpur Food Enterprises","Bhagalpur","BR0333"
"West Bengal","Dairy Plant","Malda Dairy Foods","Malda","WB0334"
"Odisha","Oil Mill","Balasore Oil Agro Works","Balasore","OD0335"
"Chhattisgarh","Cold Storage","Raipur Cold Agencies","Raipur","CG0336"
"Tamil Nadu","Agro Processing","Tiruppur Agro Mills","Tiruppur","TN0337"
"Karnataka","Flour Mill","Mysore Flour Products","Mysore","KA0338"
"Kerala","Spice Processing","Kozhikode Spice FarmTech","Kozhikode","KL0339"
"Andhra Pradesh","Fruit Processing","Nellore Fruit Agri Unit","Nellore","AP0340"
"Telangana","Rice Mill","Hyderabad Rice Industries","Hyderabad","TS0341"
"Maharashtra","Sugar Mill","Solapur Sugar Processors","Solapur","MH0342"
"Gujarat","Food Processing","Ahmedabad Food Enterprises","Ahmedabad","GJ0343"
"Punjab","Dairy Plant","Patiala Dairy Foods","Patiala","PB0344"
"Haryana","Oil Mill","Ambala Oil Agro Works","Ambala","HR0345"
"Uttar Pradesh","Cold Storage","Agra Cold Agencies","Agra","UP0346"
"Rajasthan","Agro Processing","Bikaner Agro Mills","Bikaner","RJ0347"
"Madhya Pradesh","Flour Mill","Sagar Flour Products","Sagar","MP0348"
"Bihar","Spice Processing","Gaya Spice FarmTech","Gaya","BR0349"
